"","second","amplitude","pair","player","session"
"1",15,0.0177858974870418,"01","1","1"
"2",15.15,0.00456872508309248,"01","1","1"
"3",15.3,0.00114012490926965,"01","1","1"
"4",15.45,0.000410380944027539,"01","1","1"
"5",15.6,0.000141661949185213,"01","1","1"
"6",15.75,3.06407762137931e-05,"01","1","1"
"7",15.9,7.85368775338535e-05,"01","1","1"
"8",16.05,0.000158044235487192,"01","1","1"
"9",16.2,0.000405073267607118,"01","1","1"
"10",16.35,0.0283479294026576,"01","1","1"
"11",16.5,0.0045222052564574,"01","1","1"
"12",16.65,0.00282203883490633,"01","1","1"
"13",16.8,0.0456488507656059,"01","1","1"
"14",16.95,0.0121633089069938,"01","1","1"
"15",17.1,0.00183098749399419,"01","1","1"
"16",17.25,0.000862637149459638,"01","1","1"
"17",17.4,0.000143277525812259,"01","1","1"
"18",17.55,8.54762701174711e-05,"01","1","1"
"19",17.7,9.28388874990296e-05,"01","1","1"
"20",17.85,0.00010831399322507,"01","1","1"
"21",18,0.000141819390695475,"01","1","1"
"22",18.15,0.000235277438382875,"01","1","1"
"23",18.3,0.182175865454944,"01","1","1"
"24",18.45,0.0331102663375529,"01","1","1"
"25",18.6,0.00800167299065183,"01","1","1"
"26",18.75,0.15213037118828,"01","1","1"
"27",18.9,0.0534968710963451,"01","1","1"
"28",19.05,0.014034056243692,"01","1","1"
"29",19.2,0.00170513066747925,"01","1","1"
"30",19.35,0.00089259374487858,"01","1","1"
"31",19.5,0.000250780591201305,"01","1","1"
"32",19.65,3.40833986288524e-05,"01","1","1"
"33",19.8,4.11387157916287e-05,"01","1","1"
"34",19.95,4.81477921288313e-05,"01","1","1"
"35",20.1,5.25179108178974e-05,"01","1","1"
"36",20.25,5.46721634194154e-05,"01","1","1"
"37",20.4,5.48963075867699e-05,"01","1","1"
"38",20.55,5.26273503318399e-05,"01","1","1"
"39",20.7,4.68297713679736e-05,"01","1","1"
"40",20.85,3.43596365071771e-05,"01","1","1"
"41",21,8.59661783507415e-06,"01","1","1"
"42",21.15,4.99959120377198e-05,"01","1","1"
"43",21.3,0.000212893440083657,"01","1","1"
"44",21.45,0.00109876914037613,"01","1","1"
"45",21.6,0.121345089461669,"01","1","1"
"46",21.75,0.0382432610699512,"01","1","1"
"47",21.9,0.091437804608077,"01","1","1"
"48",22.05,0.0156608180155673,"01","1","1"
"49",22.2,0.00834902267460112,"01","1","1"
"50",22.35,0.00150636920707356,"01","1","1"
"51",22.5,0.0330130106937136,"01","1","1"
"52",22.65,0.00244157766335138,"01","1","1"
"53",22.8,0.00308699601933413,"01","1","1"
"54",22.95,0.0316611118853024,"01","1","1"
"55",23.1,0.00536022808182819,"01","1","1"
"56",23.25,0.00329783858143377,"01","1","1"
"57",23.4,0.129094082114392,"01","1","1"
"58",23.55,0.043283312304701,"01","1","1"
"59",23.7,0.0114471840313837,"01","1","1"
"60",23.85,0.00108746507466241,"01","1","1"
"61",24,0.000689572518911075,"01","1","1"
"62",24.15,0.000203162095059989,"01","1","1"
"63",24.3,8.38398951248445e-05,"01","1","1"
"64",24.45,6.58426619470119e-05,"01","1","1"
"65",24.6,5.04534987095188e-05,"01","1","1"
"66",24.75,3.8999346988275e-05,"01","1","1"
"67",24.9,2.93883724025444e-05,"01","1","1"
"68",25.05,2.17763238632803e-05,"01","1","1"
"69",25.2,1.46717746248644e-05,"01","1","1"
"70",25.35,8.76108824541667e-06,"01","1","1"
"71",25.5,2.7644251549461e-06,"01","1","1"
"72",25.65,2.39924952338853e-06,"01","1","1"
"73",25.8,7.98811433879185e-06,"01","1","1"
"74",25.95,1.2947507263903e-05,"01","1","1"
"75",26.1,1.85917747889107e-05,"01","1","1"
"76",26.25,2.37628088236266e-05,"01","1","1"
"77",26.4,2.98810043718332e-05,"01","1","1"
"78",26.55,3.56987604521674e-05,"01","1","1"
"79",26.7,4.2796987434177e-05,"01","1","1"
"80",26.85,4.98551808146501e-05,"01","1","1"
"81",27,5.87018881508046e-05,"01","1","1"
"82",27.15,6.79868871259582e-05,"01","1","1"
"83",27.3,7.99519065225555e-05,"01","1","1"
"84",27.45,9.32813191030884e-05,"01","1","1"
"85",27.6,0.000110577016307768,"01","1","1"
"86",27.75,0.000126245183241518,"01","1","1"
"87",27.9,0.000113365885379731,"01","1","1"
"88",28.05,0.200680444245007,"01","1","1"
"89",28.2,0.0555553206141976,"01","1","1"
"90",28.35,0.011412233061365,"01","1","1"
"91",28.5,0.045388807921065,"01","1","1"
"92",28.65,0.0112755715083008,"01","1","1"
"93",28.8,0.000478816260749195,"01","1","1"
"94",28.95,0.108229433811832,"01","1","1"
"95",29.1,0.0326983102616534,"01","1","1"
"96",29.25,0.00625889270088999,"01","1","1"
"97",29.4,0.000313828899812888,"01","1","1"
"98",29.55,0.0249182446142942,"01","1","1"
"99",29.7,0.0104288040908234,"01","1","1"
"100",29.85,0.00191023891653758,"01","1","1"
"101",30,0.0681970691245027,"01","1","1"
"102",30.15,0.0136011728677022,"01","1","1"
"103",30.3,0.0436796469045079,"01","1","1"
"104",30.45,0.0146170367355237,"01","1","1"
"105",30.6,0.00416034258600727,"01","1","1"
"106",30.75,0.0610819570999841,"01","1","1"
"107",30.9,0.0188922517559625,"01","1","1"
"108",31.05,0.00226493441598681,"01","1","1"
"109",31.2,0.000903164010370713,"01","1","1"
"110",31.35,0.000222096803476159,"01","1","1"
"111",31.5,0.000162129016416324,"01","1","1"
"112",31.65,0.000149308602037081,"01","1","1"
"113",31.8,0.00013779272527699,"01","1","1"
"114",31.95,0.000128609026636292,"01","1","1"
"115",32.1,0.000121789809011474,"01","1","1"
"116",32.25,0.000115880020056959,"01","1","1"
"117",32.4,0.000111276305410347,"01","1","1"
"118",32.55,0.000107139373530616,"01","1","1"
"119",32.7,0.000103847899238853,"01","1","1"
"120",32.85,0.000100879269623526,"01","1","1"
"121",33,9.85094756770152e-05,"01","1","1"
"122",33.15,9.64338301878568e-05,"01","1","1"
"123",33.3,9.48137158206389e-05,"01","1","1"
"124",33.45,9.3522894759039e-05,"01","1","1"
"125",33.6,9.26132859868755e-05,"01","1","1"
"126",33.75,9.21243655617642e-05,"01","1","1"
"127",33.9,9.20109465549628e-05,"01","1","1"
"128",34.05,9.24872451200718e-05,"01","1","1"
"129",34.2,9.3435414887467e-05,"01","1","1"
"130",34.35,9.52870173713972e-05,"01","1","1"
"131",34.5,9.79122258405323e-05,"01","1","1"
"132",34.65,0.000102084321541993,"01","1","1"
"133",34.8,0.000107848177139421,"01","1","1"
"134",34.95,0.000116716483535745,"01","1","1"
"135",35.1,0.000129630536067335,"01","1","1"
"136",35.25,0.000150520706027498,"01","1","1"
"137",35.4,0.000185207121181677,"01","1","1"
"138",35.55,0.000252017023948333,"01","1","1"
"139",35.7,0.000409008716995601,"01","1","1"
"140",35.85,0.0010892786017685,"01","1","1"
"141",36,0.113623158698578,"01","1","1"
"142",36.15,0.0380759203455933,"01","1","1"
"143",36.3,0.00879565588428887,"01","1","1"
"144",36.45,0.0612109376867042,"01","1","1"
"145",36.6,0.014809966304131,"01","1","1"
"146",36.75,0.0036271167689671,"01","1","1"
"147",36.9,0.0436295886856291,"01","1","1"
"148",37.05,0.011484011387884,"01","1","1"
"149",37.2,0.000892717971811765,"01","1","1"
"150",37.35,0.120136653294211,"01","1","1"
"151",37.5,0.053245113638657,"01","1","1"
"152",37.65,0.0141460629225249,"01","1","1"
"153",37.8,0.00115279216592618,"01","1","1"
"154",37.95,0.0187755328301738,"01","1","1"
"155",38.1,0.00726302673793245,"01","1","1"
"156",38.25,0.00215647901180346,"01","1","1"
"157",38.4,0.0758792598394793,"01","1","1"
"158",38.55,0.0232804655044832,"01","1","1"
"159",38.7,0.00300215322926768,"01","1","1"
"160",38.85,0.115348290474408,"01","1","1"
"161",39,0.0413041870483351,"01","1","1"
