pair,player,others,duration
1,1,3,8
1,2,3,2
1,2,3,5
2,1,4,3
2,2,1,1.5
3,1,4,15
3,1,4,4
3,1,4,1
3,2,0,0
4,1,2,1.5
4,2,2,1
5,1,2,0.5
5,1,2,0.2
5,2,2,3
6,1,2,0.5
6,2,3,6
7,1,1,3
7,1,1,2
7,2,2,7
7,2,2,2
8,1,4,3
8,1,4,7
8,1,4,2
8,2,2,4
9,1,3,10
9,1,3,15
9,2,0,0
10,1,1,0.5
10,1,1,0.5
10,2,0,0
11,1,1,0
11,2,0,0
12,1,0,0
12,2,2,0.5
13,1,3,8
13,1,3,2
13,2,2,9
13,2,2,1
14,1,3,8
14,1,3,1.5
14,1,3,1.5
14,2,0,0
15,1,3,4
15,1,3,3
15,2,0,0
16,1,4,1
16,1,4,4
16,1,4,9
16,1,4,5
16,1,4,6
16,2,3,8
16,2,3,12
17,1,1,0.5
17,1,1,0.5
17,2,4,2
17,2,4,7
17,2,4,3
18,1,3,4
18,1,3,1
18,1,3,3
18,2,2,0.5
19,1,2,0
19,2,4,10
19,2,4,8
19,2,4,6
19,2,4,6
20,1,0,0
20,2,0,0
21,1,1,12
21,2,0,0
22,1,2,4
22,1,2,3
22,2,0,0
23,1,2,5
23,1,2,3
23,2,1,3
23,2,1,1
24,1,3,12
24,1,3,5
24,2,1,0
25,1,3,6
25,1,3,2
25,2,3,8
26,1,2,4
26,1,2,2
26,2,2,2
27,1,1,0
27,2,0,0
28,1,2,2
28,2,4,6
29,1,1,<1
29,2,3,10
29,2,3,5
30,1,2,3
30,1,2,1
30,1,2,2
30,1,2,3
30,2,1,<1
